Dimensi,Aspek,Arti,Perilaku Kuat,Perilaku Lemah
Motivation,Noble (Idealis),"Individu yang memiliki talenta ini memiliki nilai-nilai inti kehidupan yang bertahan lama. Mereka berorientasi pada prinsip-prinsip, seperti keluarga, altruistik, spiritual, ataupun etika; hal ini dapat bervariasi dari satu orang ke orang lain. Nilai-nilai ini memberi makna dan kepuasan dalam hidup mereka serta memberi bayangan masa depan yang mereka tuju dan lingkungan di mana mereka ingin berada. Nilai-nilai ini menciptakan pedoman dan batasan tentang bagaimana mereka harus berperilaku dan memisahkan antara yang benar dan salah. Dalam pandangan mereka, kesuksesan lebih dari sekedar uang dan prestise. Nilai-nilai ini memberi mereka arah, membimbing mereka melampaui godaan dan gangguan dalam hidup menuju serangkaian prioritas yang konsisten.",Perlu bekerja atau berada di lingkungan yang selaras dengan nilai-nilai mereka.,"Mengharapkan tindakan/produk yang sempurna sepenuhnya sesuai ideal etisnya, sehingga menolak hasil yang “cukup baik”."
Motivation,Noble (Idealis),"Individu yang memiliki talenta ini memiliki nilai-nilai inti kehidupan yang bertahan lama. Mereka berorientasi pada prinsip-prinsip, seperti keluarga, altruistik, spiritual, ataupun etika; hal ini dapat bervariasi dari satu orang ke orang lain. Nilai-nilai ini memberi makna dan kepuasan dalam hidup mereka serta memberi bayangan masa depan yang mereka tuju dan lingkungan di mana mereka ingin berada. Nilai-nilai ini menciptakan pedoman dan batasan tentang bagaimana mereka harus berperilaku dan memisahkan antara yang benar dan salah. Dalam pandangan mereka, kesuksesan lebih dari sekedar uang dan prestise. Nilai-nilai ini memberi mereka arah, membimbing mereka melampaui godaan dan gangguan dalam hidup menuju serangkaian prioritas yang konsisten.",Mencari panutan yang memiliki keyakinan yang sama.,"Sering memilih mengorbankan waktu/energi pribadi demi menegakkan nilai, tanpa batas yang sehat."
Motivation,Perfectionist (Perfeksionis),"Individu ini membutuhkan pengorganisasian, kerapian dan kepresisian. Struktur, ketepatan waktu dan akurasi penting bagi mereka. Mereka memastikan semuanya bersih dan sempurna. Mereka harus memiliki tempat untuk segalanya dan memastikan semua ada di tempatnya. Mereka suka menghasilkan karya tanpa kesalahan. Kuat dalam mengelola hal yang rinci, mereka melihat keteraturan sebagai cara hidup. Mereka tidak memberikan ruang bagi kesalahan dan memastikan bahwa setiap kesalahan terlihat. Mereka ambisius menuju kesempurnaan dan mengharapkan dedikasi yang sama dari orang lain.",Memastikan setiap hasil pekerjaan sangat akurat dan bebas dari kesalahan,Secara tidak sengaja melewatkan hal yang rinci.
Motivation,Perfectionist (Perfeksionis),"Individu ini membutuhkan pengorganisasian, kerapian dan kepresisian. Struktur, ketepatan waktu dan akurasi penting bagi mereka. Mereka memastikan semuanya bersih dan sempurna. Mereka harus memiliki tempat untuk segalanya dan memastikan semua ada di tempatnya. Mereka suka menghasilkan karya tanpa kesalahan. Kuat dalam mengelola hal yang rinci, mereka melihat keteraturan sebagai cara hidup. Mereka tidak memberikan ruang bagi kesalahan dan memastikan bahwa setiap kesalahan terlihat. Mereka ambisius menuju kesempurnaan dan mengharapkan dedikasi yang sama dari orang lain.",Memiliki standar kualitas yang sangat tinggi dalam segala hal.,Berfokus pada gambaran besar.
Motivation,Perfectionist (Perfeksionis),"Individu ini membutuhkan pengorganisasian, kerapian dan kepresisian. Struktur, ketepatan waktu dan akurasi penting bagi mereka. Mereka memastikan semuanya bersih dan sempurna. Mereka harus memiliki tempat untuk segalanya dan memastikan semua ada di tempatnya. Mereka suka menghasilkan karya tanpa kesalahan. Kuat dalam mengelola hal yang rinci, mereka melihat keteraturan sebagai cara hidup. Mereka tidak memberikan ruang bagi kesalahan dan memastikan bahwa setiap kesalahan terlihat. Mereka ambisius menuju kesempurnaan dan mengharapkan dedikasi yang sama dari orang lain.",Sangat terorganisir dan metodes dalam setiap pendekatan pekerjaan.,Dapat menjadi berantakan dan tidak teratur.
Motivation,Perfectionist (Perfeksionis),"Individu ini membutuhkan pengorganisasian, kerapian dan kepresisian. Struktur, ketepatan waktu dan akurasi penting bagi mereka. Mereka memastikan semuanya bersih dan sempurna. Mereka harus memiliki tempat untuk segalanya dan memastikan semua ada di tempatnya. Mereka suka menghasilkan karya tanpa kesalahan. Kuat dalam mengelola hal yang rinci, mereka melihat keteraturan sebagai cara hidup. Mereka tidak memberikan ruang bagi kesalahan dan memastikan bahwa setiap kesalahan terlihat. Mereka ambisius menuju kesempurnaan dan mengharapkan dedikasi yang sama dari orang lain.",Mengecek dan memperhatikan hal-hal yang rinci (detail) secara teliti.,Kurang akurat dalam hasil yang diciptakan.
Motivation,Optimizer (Pengoptimal),"Individu ini suka mengubah sesuatu yang kuat menjadi sesuatu yang luar biasa, Mereka mencari kekuatan dan merasa terdorong untuk memelihara, menyempurnakan, dan meningkatkannya menuju kesempurnaan. Tidak mudah puas, mereka selalu berusaha membuat sesuatu menjadi lebih baik, lebih besar, dan akhirnya dioptimalkan. Bagi mereka, tidak ada yang namanya titik penyelesaian karena selalu ada ruang untuk berkembang dan melampauinya.",Tidak pernah puas atas apa yang sudah mereka hasilkan.,Merasa cukup dengan hal yang biasa-biasa saja.
Motivation,Optimizer (Pengoptimal),"Individu ini suka mengubah sesuatu yang kuat menjadi sesuatu yang luar biasa, Mereka mencari kekuatan dan merasa terdorong untuk memelihara, menyempurnakan, dan meningkatkannya menuju kesempurnaan. Tidak mudah puas, mereka selalu berusaha membuat sesuatu menjadi lebih baik, lebih besar, dan akhirnya dioptimalkan. Bagi mereka, tidak ada yang namanya titik penyelesaian karena selalu ada ruang untuk berkembang dan melampauinya.",Berusaha untuk memaksimalkan apa pun yang mereka lakukan.,Cepat merasa puas.
Motivation,Optimizer (Pengoptimal),"Individu ini suka mengubah sesuatu yang kuat menjadi sesuatu yang luar biasa, Mereka mencari kekuatan dan merasa terdorong untuk memelihara, menyempurnakan, dan meningkatkannya menuju kesempurnaan. Tidak mudah puas, mereka selalu berusaha membuat sesuatu menjadi lebih baik, lebih besar, dan akhirnya dioptimalkan. Bagi mereka, tidak ada yang namanya titik penyelesaian karena selalu ada ruang untuk berkembang dan melampauinya.",Memiliki standar yang tinggi.,Cenderung menetapkan standar kualitas yang rendah.
Motivation,Optimizer (Pengoptimal),"Individu ini suka mengubah sesuatu yang kuat menjadi sesuatu yang luar biasa, Mereka mencari kekuatan dan merasa terdorong untuk memelihara, menyempurnakan, dan meningkatkannya menuju kesempurnaan. Tidak mudah puas, mereka selalu berusaha membuat sesuatu menjadi lebih baik, lebih besar, dan akhirnya dioptimalkan. Bagi mereka, tidak ada yang namanya titik penyelesaian karena selalu ada ruang untuk berkembang dan melampauinya.",Memanfaatkan waktu hingga ke menit terakhir untuk menyempurnakan sesuatu.,Kurang mendorong diri untuk menghasilkan sesuatu yang luar biasa.
Motivation,Vigorous (Pekerja Keras),"Individu ini memiliki tingkat energi yang tinggi dan berkembang dalam lingkungan yang serba cepat, Pekerja keras, mereka suka untuk tetap sibuk dan mampu berada dalam situasi penuh tekanan. Mereka memiliki stamina untuk bertahan berjam-jam tanpa kehabisan tenaga dan tetap tenang. Mereka biasanya adalah orang terakhir yang berdiri di penghujung hari yang panjang. Ketika tidak ada yang harus dilakukan, mereka merasa gelisah, karena kesibukan itulah yang membuat mereka terus maju dan membuat mereka bersemangat. Energi yang besar inilah yang mendorong mereka untuk tetap produktif dan tangguh dalam menghadapi tantangan.",Mampu mengelola berbagai tugas dengan energi yang besar.,Jam kerja yang panjang terasa melelahkan dibanding membuat bersemangat.
Motivation,Vigorous (Pekerja Keras),"Individu ini memiliki tingkat energi yang tinggi dan berkembang dalam lingkungan yang serba cepat, Pekerja keras, mereka suka untuk tetap sibuk dan mampu berada dalam situasi penuh tekanan. Mereka memiliki stamina untuk bertahan berjam-jam tanpa kehabisan tenaga dan tetap tenang. Mereka biasanya adalah orang terakhir yang berdiri di penghujung hari yang panjang. Ketika tidak ada yang harus dilakukan, mereka merasa gelisah, karena kesibukan itulah yang membuat mereka terus maju dan membuat mereka bersemangat. Energi yang besar inilah yang mendorong mereka untuk tetap produktif dan tangguh dalam menghadapi tantangan.",Mampu bekerja di bawah tekanan dan lingkungan yang serba cepat.,Cenderung mudah frustrasi oleh lingkungan yang terus bergerak cepat
Motivation,Vigorous (Pekerja Keras),"Individu ini memiliki tingkat energi yang tinggi dan berkembang dalam lingkungan yang serba cepat, Pekerja keras, mereka suka untuk tetap sibuk dan mampu berada dalam situasi penuh tekanan. Mereka memiliki stamina untuk bertahan berjam-jam tanpa kehabisan tenaga dan tetap tenang. Mereka biasanya adalah orang terakhir yang berdiri di penghujung hari yang panjang. Ketika tidak ada yang harus dilakukan, mereka merasa gelisah, karena kesibukan itulah yang membuat mereka terus maju dan membuat mereka bersemangat. Energi yang besar inilah yang mendorong mereka untuk tetap produktif dan tangguh dalam menghadapi tantangan.",Merasa gelisah ketika tidak ada yang bisa dilakukan.,Membutuhkan beban kerja yang bisa diprediksi.
Motivation,Vigorous (Pekerja Keras),"Individu ini memiliki tingkat energi yang tinggi dan berkembang dalam lingkungan yang serba cepat, Pekerja keras, mereka suka untuk tetap sibuk dan mampu berada dalam situasi penuh tekanan. Mereka memiliki stamina untuk bertahan berjam-jam tanpa kehabisan tenaga dan tetap tenang. Mereka biasanya adalah orang terakhir yang berdiri di penghujung hari yang panjang. Ketika tidak ada yang harus dilakukan, mereka merasa gelisah, karena kesibukan itulah yang membuat mereka terus maju dan membuat mereka bersemangat. Energi yang besar inilah yang mendorong mereka untuk tetap produktif dan tangguh dalam menghadapi tantangan.",Dapat menangani banyak beban kerja yang mungkin menantang bagi banyak orang.,Membutuhkan jeda di sela-sela pekerjaan atau kesibukan yang tak kunjung henti.
Motivation,Self-Confident (Percaya Diri),"Individu yang memiliki talenta ini memiliki kemampuan bawaan atau terasah untuk percaya pada kapasitas diri—keyakinan bahwa ia mampu menghadapi tantangan, mengambil keputusan, dan bertanggung jawab atas hasil tindakannya. Individu dengan talenta ini menunjukkan kombinasi keyakinan internal (self-efficacy), ketenangan dalam ketidakpastian, dan keberanian bertindak meski ada risiko. Mereka bukan hanya “berteriak paling kencang”, melainkan memiliki landasan pengalaman, persiapan, atau nilai diri yang membuat cara bertindak dan berbicara mereka konsisten dan terpercaya. Dalam konteks organisasi, percaya diri terwujud sebagai kemampuan memimpin inisiatif, mengambil tanggung jawab, mempertahankan posisi saat perlu, dan memberi energi positif pada tim—tanpa membutuhkan pujian terus-menerus dari luar",Mengajukan pilot project untuk menguji ide baru tanpa menunggu instruksi,Mengabaikan masukan tim karena yakin idenya paling tepat
Motivation,Self-Confident (Percaya Diri),"Individu yang memiliki talenta ini memiliki kemampuan bawaan atau terasah untuk percaya pada kapasitas diri—keyakinan bahwa ia mampu menghadapi tantangan, mengambil keputusan, dan bertanggung jawab atas hasil tindakannya. Individu dengan talenta ini menunjukkan kombinasi keyakinan internal (self-efficacy), ketenangan dalam ketidakpastian, dan keberanian bertindak meski ada risiko. Mereka bukan hanya “berteriak paling kencang”, melainkan memiliki landasan pengalaman, persiapan, atau nilai diri yang membuat cara bertindak dan berbicara mereka konsisten dan terpercaya. Dalam konteks organisasi, percaya diri terwujud sebagai kemampuan memimpin inisiatif, mengambil tanggung jawab, mempertahankan posisi saat perlu, dan memberi energi positif pada tim—tanpa membutuhkan pujian terus-menerus dari luar",Memilih arah tindakan dalam rapat yang mengarah kepada keputusan konkret dan pembagian tugas.,Mendominasi rapat sehingga orang lain jarang berbicara
Motivation,Self-Confident (Percaya Diri),"Individu yang memiliki talenta ini memiliki kemampuan bawaan atau terasah untuk percaya pada kapasitas diri—keyakinan bahwa ia mampu menghadapi tantangan, mengambil keputusan, dan bertanggung jawab atas hasil tindakannya. Individu dengan talenta ini menunjukkan kombinasi keyakinan internal (self-efficacy), ketenangan dalam ketidakpastian, dan keberanian bertindak meski ada risiko. Mereka bukan hanya “berteriak paling kencang”, melainkan memiliki landasan pengalaman, persiapan, atau nilai diri yang membuat cara bertindak dan berbicara mereka konsisten dan terpercaya. Dalam konteks organisasi, percaya diri terwujud sebagai kemampuan memimpin inisiatif, mengambil tanggung jawab, mempertahankan posisi saat perlu, dan memberi energi positif pada tim—tanpa membutuhkan pujian terus-menerus dari luar",Berani mengambil keputusan tanpa ragu,"Memaksa jawaban padahal tidak tahu, lalu memberi informasi keliru"
Motivation,Self-Confident (Percaya Diri),"Individu yang memiliki talenta ini memiliki kemampuan bawaan atau terasah untuk percaya pada kapasitas diri—keyakinan bahwa ia mampu menghadapi tantangan, mengambil keputusan, dan bertanggung jawab atas hasil tindakannya. Individu dengan talenta ini menunjukkan kombinasi keyakinan internal (self-efficacy), ketenangan dalam ketidakpastian, dan keberanian bertindak meski ada risiko. Mereka bukan hanya “berteriak paling kencang”, melainkan memiliki landasan pengalaman, persiapan, atau nilai diri yang membuat cara bertindak dan berbicara mereka konsisten dan terpercaya. Dalam konteks organisasi, percaya diri terwujud sebagai kemampuan memimpin inisiatif, mengambil tanggung jawab, mempertahankan posisi saat perlu, dan memberi energi positif pada tim—tanpa membutuhkan pujian terus-menerus dari luar",Percaya diri saat berbicara di depan umum,Memimpin presentasi penuh percaya diri namun tanpa data atau rencana pelaksanaan
Motivation,Siginificant (Signifikan),"Individu yang kuat dalam talenta ini adalah orang orang yang mencari legacy untuk ditinggalkan. Mereka ingin dihargai atas kekuatan unik yang mereka bawa. Bisa memberikan kontribusi dan dampak untuk orang lain merupakan hal yang sangat penting dan bermakna bagi mereka. Mereka nyaman menjadi dirinya sendiri dan tidak keberatan untuk tampil berbeda. Justru, itulah sumber dari otentisitas mereka. Karena berani untuk tampil berbeda dan ingin berkontribusi di setiap momen mereka berada,mereka otomatis lebih menonjol dan terlihat dari yang lain.",Ingin terlihat unik dan berbeda dari yang lain.,Terlalu fokus pada mendapat pengakuan sehingga prioritasnya adalah tampil—bukan hasil tim.
Motivation,Siginificant (Signifikan),"Individu yang kuat dalam talenta ini adalah orang orang yang mencari legacy untuk ditinggalkan. Mereka ingin dihargai atas kekuatan unik yang mereka bawa. Bisa memberikan kontribusi dan dampak untuk orang lain merupakan hal yang sangat penting dan bermakna bagi mereka. Mereka nyaman menjadi dirinya sendiri dan tidak keberatan untuk tampil berbeda. Justru, itulah sumber dari otentisitas mereka. Karena berani untuk tampil berbeda dan ingin berkontribusi di setiap momen mereka berada,mereka otomatis lebih menonjol dan terlihat dari yang lain.",Sangat termotivasi ketika bisa meninggalkan kontribusi berharga bagi khalayak banyak.,Cenderung mengumpulkan pujian atau mengambil kredit atas hasil yang merupakan kerja kolektif.
Motivation,Siginificant (Signifikan),"Individu yang kuat dalam talenta ini adalah orang orang yang mencari legacy untuk ditinggalkan. Mereka ingin dihargai atas kekuatan unik yang mereka bawa. Bisa memberikan kontribusi dan dampak untuk orang lain merupakan hal yang sangat penting dan bermakna bagi mereka. Mereka nyaman menjadi dirinya sendiri dan tidak keberatan untuk tampil berbeda. Justru, itulah sumber dari otentisitas mereka. Karena berani untuk tampil berbeda dan ingin berkontribusi di setiap momen mereka berada,mereka otomatis lebih menonjol dan terlihat dari yang lain.",Sangat mengharapkan bahwa kehadiran mereka dapat memberikan dampak positif bagi orang lain dan lingkungannya.,"Sering menyela, mendorong idenya terus-menerus sehingga ide orang lain tidak berkembang."
Motivation,Siginificant (Signifikan),"Individu yang kuat dalam talenta ini adalah orang orang yang mencari legacy untuk ditinggalkan. Mereka ingin dihargai atas kekuatan unik yang mereka bawa. Bisa memberikan kontribusi dan dampak untuk orang lain merupakan hal yang sangat penting dan bermakna bagi mereka. Mereka nyaman menjadi dirinya sendiri dan tidak keberatan untuk tampil berbeda. Justru, itulah sumber dari otentisitas mereka. Karena berani untuk tampil berbeda dan ingin berkontribusi di setiap momen mereka berada,mereka otomatis lebih menonjol dan terlihat dari yang lain.",Mengukur kontribusi yang mereka bawa melalui umpan balik dan pengakuan yang didengar dari orang lain.,Menyukai aksi besar yang mengesankan (grand gestures) namun sulit diikuti dengan rencana jangka panjang dan pelaksanaan yang konsisten
Motivation,Visionary (Visioner),Individu yang memiliki talenta ini suka memandang jauh ke depan. Masa depan adalah sesuatu yang menarik bagi mereka. Mereka adalah pemimpi yang melihat visi atas apa yang mungkin dan bisa terjadi dan itu memberi mereka energi. Mereka membantu orang lain untuk melihat apa yang mungkin sulit dibayangkan oleh banyak orang. Mereka melihat potensi ke depan dan kemungkinan besar mampu memprediksi situasi yang mungkin terjadi; mereka kemudian mensinergikannya untuk membuat langkah maju secara umum. Mereka memiliki banyak pemikiran imajinatif yang digerakkan oleh tujuan masa depan.,Berfokus pada peluang di masa depan dan kemungkinan yang bisa terjadi.,Sering menghasilkan gagasan besar tetapi jarang memastikan langkah konkret untuk merealisasikannya
Motivation,Visionary (Visioner),Individu yang memiliki talenta ini suka memandang jauh ke depan. Masa depan adalah sesuatu yang menarik bagi mereka. Mereka adalah pemimpi yang melihat visi atas apa yang mungkin dan bisa terjadi dan itu memberi mereka energi. Mereka membantu orang lain untuk melihat apa yang mungkin sulit dibayangkan oleh banyak orang. Mereka melihat potensi ke depan dan kemungkinan besar mampu memprediksi situasi yang mungkin terjadi; mereka kemudian mensinergikannya untuk membuat langkah maju secara umum. Mereka memiliki banyak pemikiran imajinatif yang digerakkan oleh tujuan masa depan.,Termotivasi oleh masa depan dan mudah move on dari masa lalu.,Fokus pada gambaran besar sampai melewatkan aspek teknis atau proses yang penting
Motivation,Visionary (Visioner),Individu yang memiliki talenta ini suka memandang jauh ke depan. Masa depan adalah sesuatu yang menarik bagi mereka. Mereka adalah pemimpi yang melihat visi atas apa yang mungkin dan bisa terjadi dan itu memberi mereka energi. Mereka membantu orang lain untuk melihat apa yang mungkin sulit dibayangkan oleh banyak orang. Mereka melihat potensi ke depan dan kemungkinan besar mampu memprediksi situasi yang mungkin terjadi; mereka kemudian mensinergikannya untuk membuat langkah maju secara umum. Mereka memiliki banyak pemikiran imajinatif yang digerakkan oleh tujuan masa depan.,Mampu menggambarkan dan membayangkan apa yang akan terjadi.,"Sering mengganti fokus ke gagasan berikutnya sebelum yang sekarang selesai, sehingga tidak stabil"
Motivation,Visionary (Visioner),Individu yang memiliki talenta ini suka memandang jauh ke depan. Masa depan adalah sesuatu yang menarik bagi mereka. Mereka adalah pemimpi yang melihat visi atas apa yang mungkin dan bisa terjadi dan itu memberi mereka energi. Mereka membantu orang lain untuk melihat apa yang mungkin sulit dibayangkan oleh banyak orang. Mereka melihat potensi ke depan dan kemungkinan besar mampu memprediksi situasi yang mungkin terjadi; mereka kemudian mensinergikannya untuk membuat langkah maju secara umum. Mereka memiliki banyak pemikiran imajinatif yang digerakkan oleh tujuan masa depan.,Mampu memprediksi apa yang akan terjadi dan langkah besar yang bisa dilakukan.,Menyampaikan visi dalam istilah sangat konseptual atau metafora sehingga tim kesulitan menerjemahkan ke tindakan
Relation,Advisor (Penasihat),"Individu ini berantusias besar untuk berbagi masukan atau nasihat yang bisa membantu orang tersebut mengatasi masalahnya. Mereka merasa berguna ketika ada orang yang berbagi keluh kesahnya; itulah momen dimana mereka merasa menjadi pribadi yang bermanfaat. Mereka secara spontan memberikan nasihat, bahkan sebelum diminta. Di saat ada kekacauan, mereka memberikan pencerahan sehingga orang dapat melewati rintangan dan memulihkan situasi. Mereka cenderung memiliki banyak pengalaman, pengetahuan, dan keterampilan yang menjadi sumber nasihat.",Secara spontan memberi nasihat dalam berbagai situasi.,Langsung menawarkan solusi sebelum orang tersebut siap atau meminta bantuan.
Relation,Advisor (Penasihat),"Individu ini berantusias besar untuk berbagi masukan atau nasihat yang bisa membantu orang tersebut mengatasi masalahnya. Mereka merasa berguna ketika ada orang yang berbagi keluh kesahnya; itulah momen dimana mereka merasa menjadi pribadi yang bermanfaat. Mereka secara spontan memberikan nasihat, bahkan sebelum diminta. Di saat ada kekacauan, mereka memberikan pencerahan sehingga orang dapat melewati rintangan dan memulihkan situasi. Mereka cenderung memiliki banyak pengalaman, pengetahuan, dan keterampilan yang menjadi sumber nasihat.",Mengesampingkan diri untuk membantu orang lain menghadapi rintangannya.,Mengeluarkan banyak opsi/solusi sekaligus sehingga membingungkan penerima.
Relation,Advisor (Penasihat),"Individu ini berantusias besar untuk berbagi masukan atau nasihat yang bisa membantu orang tersebut mengatasi masalahnya. Mereka merasa berguna ketika ada orang yang berbagi keluh kesahnya; itulah momen dimana mereka merasa menjadi pribadi yang bermanfaat. Mereka secara spontan memberikan nasihat, bahkan sebelum diminta. Di saat ada kekacauan, mereka memberikan pencerahan sehingga orang dapat melewati rintangan dan memulihkan situasi. Mereka cenderung memiliki banyak pengalaman, pengetahuan, dan keterampilan yang menjadi sumber nasihat.",Tidak sabar untuk memberikan saran bahkan sebelum orang lain bertanya.,Sering memberi solusi yang membuat orang lain pasif dan bergantung pada penasihat.
Relation,Advisor (Penasihat),"Individu ini berantusias besar untuk berbagi masukan atau nasihat yang bisa membantu orang tersebut mengatasi masalahnya. Mereka merasa berguna ketika ada orang yang berbagi keluh kesahnya; itulah momen dimana mereka merasa menjadi pribadi yang bermanfaat. Mereka secara spontan memberikan nasihat, bahkan sebelum diminta. Di saat ada kekacauan, mereka memberikan pencerahan sehingga orang dapat melewati rintangan dan memulihkan situasi. Mereka cenderung memiliki banyak pengalaman, pengetahuan, dan keterampilan yang menjadi sumber nasihat.","Saat terjadi kebingungan, merekalah orang yang dicari untuk memberikan masukan.",Fokus pada menawarkan solusi sehingga melewatkan informasi penting atau emosi lawan bicara.
Relation,Affectionate (Perhatian),"Individu yang memiliki talenta ini siap memberikan perhatian dan dukungan yang dibutuhkan, sehingga menciptakan hubungan yang kuat dengan orang-orang di sekitar mereka. Mereka menyediakan bahu untuk bersandar bagi mereka yang mengalami kemalangan. Pendengar yang hebat, mereka mendengarkan dengan empati. Mereka memberi orang perhatian yang dibutuhkan dan menunjukkan sikap peduli. Mereka meluangkan waktu untuk orang lain dan menginvestasikan perasaan mereka, sehingga mereka dapat menguatkan kebutuhan emosi orang-orang di sekitarnya.",Memiliki rasa peduli yang tinggi.,Terlalu terlibat secara personal hingga mencampur urusan pribadi dengan profesional.
Relation,Affectionate (Perhatian),"Individu yang memiliki talenta ini siap memberikan perhatian dan dukungan yang dibutuhkan, sehingga menciptakan hubungan yang kuat dengan orang-orang di sekitar mereka. Mereka menyediakan bahu untuk bersandar bagi mereka yang mengalami kemalangan. Pendengar yang hebat, mereka mendengarkan dengan empati. Mereka memberi orang perhatian yang dibutuhkan dan menunjukkan sikap peduli. Mereka meluangkan waktu untuk orang lain dan menginvestasikan perasaan mereka, sehingga mereka dapat menguatkan kebutuhan emosi orang-orang di sekitarnya.",Tahu apa yang perlu dikatakan ketika seseorang merasa senang ataupun sedih.,Menampung emosi orang lain sampai mengorbankan kesejahteraan sendiri.
Relation,Affectionate (Perhatian),"Individu yang memiliki talenta ini siap memberikan perhatian dan dukungan yang dibutuhkan, sehingga menciptakan hubungan yang kuat dengan orang-orang di sekitar mereka. Mereka menyediakan bahu untuk bersandar bagi mereka yang mengalami kemalangan. Pendengar yang hebat, mereka mendengarkan dengan empati. Mereka memberi orang perhatian yang dibutuhkan dan menunjukkan sikap peduli. Mereka meluangkan waktu untuk orang lain dan menginvestasikan perasaan mereka, sehingga mereka dapat menguatkan kebutuhan emosi orang-orang di sekitarnya.",Dicari ketika orang sedang sedih atau dalam masalah karena mereka adalah pendengar yang baik.,Terlalu sering membantu sehingga rekan tidak belajar mengatasi masalah sendiri.
Relation,Affectionate (Perhatian),"Individu yang memiliki talenta ini siap memberikan perhatian dan dukungan yang dibutuhkan, sehingga menciptakan hubungan yang kuat dengan orang-orang di sekitar mereka. Mereka menyediakan bahu untuk bersandar bagi mereka yang mengalami kemalangan. Pendengar yang hebat, mereka mendengarkan dengan empati. Mereka memberi orang perhatian yang dibutuhkan dan menunjukkan sikap peduli. Mereka meluangkan waktu untuk orang lain dan menginvestasikan perasaan mereka, sehingga mereka dapat menguatkan kebutuhan emosi orang-orang di sekitarnya.",Menghubungi dan memberi perhatian pada mereka yang membutuhkan.,Tanpa sengaja membagikan informasi pribadi rekan karena intensnya hubungan emosional.
Relation,Articulative (Artikulatif),"Individu ini mengungkapkan pandangan dan ide mereka dengan cara yang mudah dipahami oleh orang lain. Mereka suka menjelaskan, menggambarkan, menulis, atau berbicara di depan umum. Mereka membuat ide abstrak menjadi hidup dengan imajinasi, contoh, dan metafora. Mereka memikirkan kata-kata mereka dan merumuskannya menjadi frasa sempurna. Mereka cenderung berbicara cepat karena ada begitu banyak hal yang ingin mereka ungkapkan di kepala mereka. Orang-orang tertarik pada mereka karena kata-kata mereka hidup, sehingga orang-orang memperhatikan cerita yang mereka ceritakan.",Jelas dalam mengkomunikasikan ide dan pemikiran kepada orang lain.,Mengurai ide sampai bertele-tele sehingga pendengar kehilangan inti pesan.
Relation,Articulative (Artikulatif),"Individu ini mengungkapkan pandangan dan ide mereka dengan cara yang mudah dipahami oleh orang lain. Mereka suka menjelaskan, menggambarkan, menulis, atau berbicara di depan umum. Mereka membuat ide abstrak menjadi hidup dengan imajinasi, contoh, dan metafora. Mereka memikirkan kata-kata mereka dan merumuskannya menjadi frasa sempurna. Mereka cenderung berbicara cepat karena ada begitu banyak hal yang ingin mereka ungkapkan di kepala mereka. Orang-orang tertarik pada mereka karena kata-kata mereka hidup, sehingga orang-orang memperhatikan cerita yang mereka ceritakan.",Orang lain dapat dengan mudah memahami apa yang mereka katakan karena pilihan kata yang tepat.,Kecepatan bicara tinggi sehingga beberapa pendengar kesulitan mengikuti atau menangkap informasi.
Relation,Articulative (Artikulatif),"Individu ini mengungkapkan pandangan dan ide mereka dengan cara yang mudah dipahami oleh orang lain. Mereka suka menjelaskan, menggambarkan, menulis, atau berbicara di depan umum. Mereka membuat ide abstrak menjadi hidup dengan imajinasi, contoh, dan metafora. Mereka memikirkan kata-kata mereka dan merumuskannya menjadi frasa sempurna. Mereka cenderung berbicara cepat karena ada begitu banyak hal yang ingin mereka ungkapkan di kepala mereka. Orang-orang tertarik pada mereka karena kata-kata mereka hidup, sehingga orang-orang memperhatikan cerita yang mereka ceritakan.",Orang lain dapat dengan mudah membayangkan peristiwa atau ide yang mereka gambarkan.,"Terlalu fokus pada retorika, metafora, atau “kata indah” hingga inti data/argumen kurang kuat."
Relation,Articulative (Artikulatif),"Individu ini mengungkapkan pandangan dan ide mereka dengan cara yang mudah dipahami oleh orang lain. Mereka suka menjelaskan, menggambarkan, menulis, atau berbicara di depan umum. Mereka membuat ide abstrak menjadi hidup dengan imajinasi, contoh, dan metafora. Mereka memikirkan kata-kata mereka dan merumuskannya menjadi frasa sempurna. Mereka cenderung berbicara cepat karena ada begitu banyak hal yang ingin mereka ungkapkan di kepala mereka. Orang-orang tertarik pada mereka karena kata-kata mereka hidup, sehingga orang-orang memperhatikan cerita yang mereka ceritakan.","Suka menjelaskan, menulis, dan menuangkan sesuatu ke dalam kata-kata.",Sering mengambil alih pembicaraan sehingga kolega tidak mendapat ruang menyampaikan ide.
Relation,Caring (Peduli),"Individu ini sangat peka terhadap keinginan dan kebutuhan orang lain yang mungkin tidak terekspresikan. Mengasihi seseorang bukan hanya dengan mendoakan kebahagiaan mereka, tetapi juga betul-betul mengerti apa yang mereka rasakan. Namun, untuk benar-benar mengetahui apa yang mereka rasakan serta masalah dan kekhawatiran mereka, kita membutuhkan kepekaan yang lebih untuk mengantisipasi dan menindaklanjutinya. Banyak yang tertarik pada orang dengan talenta Caring karena mereka mampu merasakan emosi dan memberikan respon yang sesuai. Mereka dapat melihat dunia melalui mata dan perspektif orang lain. Mereka membantu orang menemukan cara untuk mengekspresikan perasaan mereka dan dimengerti karenanya.",Peka terhadap perasaan orang lain.,Tidak terhubung dengan kondisi emosi dirinya dan orang lain di sekitar mereka.
